"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"VSTR_PERM_BansManager_UpdateBanReason","Update Ban Reason","Bangrund aktualisieren","Update Ban Reason","Aktualizovat důvod banu","Обновить причину бана","Zaktualizuj powód bana","Kitiltás okának frissítése","Aggiorna motivo ban","Actualizar razón baneo","Mettre à jour raison ban","更新封禁原因","BAN理由更新","Atualizar motivo banimento","更新封禁原因",
"VSTR_PERM_MenuWebHooks","WebHooks Menu","WebHooks-Menü","WebHooks Menu","Menu WebHooks","Меню WebHooks","Menu WebHooks","WebHooks menü","Menu WebHooks","Menú WebHooks","Menu WebHooks","Webhook菜單","Webhookメニュー","Menu WebHooks","Webhook菜单",
"VSTR_PERM_MenuWebHooks_Create","Create WebHook","WebHook erstellen","Create WebHook","Vytvořit WebHook","Создать WebHook","Utwórz WebHook","WebHook létrehozása","Crea WebHook","Crear WebHook","Créer WebHook","創建Webhook","Webhook作成","Criar WebHook","创建Webhook",
"VSTR_PERM_MenuWebHooks_Edit","Edit WebHook","WebHook bearbeiten","Edit WebHook","Upravit WebHook","Редактировать WebHook","Edytuj WebHook","WebHook szerkesztése","Modifica WebHook","Editar WebHook","Modifier WebHook","編輯Webhook","Webhook編集","Editar WebHook","编辑Webhook",
"VSTR_PERM_MenuWebHooks_Delete","Delete WebHook","WebHook löschen","Delete WebHook","Smazat WebHook","Удалить WebHook","Usuń WebHook","WebHook törlése","Elimina WebHook","Eliminar WebHook","Supprimer WebHook","刪除Webhook","Webhook削除","Excluir WebHook","删除Webhook",
"VSTR_PERM_MenuTeleportManager","Teleport Manager Menu","Teleport-Manager-Menü","Teleport Manager Menu","Menu správce teleportu","Меню менеджера телепорта","Menu menedżera teleportacji","Teleportkezelő menü","Menu gestore teletrasporto","Menú gestor teletransporte","Menu gestionnaire téléportation","傳送管理器菜單","テレポートマネージャーメニュー","Menu gerenciador teletransporte","传送管理器菜单",
"VSTR_PERM_TeleportManager_ViewPlayerPositions","View Player Positions","Spielerpositionen anzeigen","View Player Positions","Zobrazit pozice hráčů","Показать позиции игроков","Pokaż pozycje graczy","Játékos pozíciók megtekintése","Visualizza posizioni giocatori","Ver posiciones jugadores","Voir positions joueurs","查看玩家位置","プレイヤー位置表示","Ver posições jogadores","查看玩家位置",
"VSTR_PERM_TeleportManager_TPPlayers","Teleport Players","Spieler teleportieren","Teleport Players","Teleport hráčů","Телепортировать игроков","Teleportuj graczy","Játékosok teleportálása","Teletrasporta giocatori","Teletransportar jugadores","Téléporter joueurs","傳送玩家","プレイヤー転送","Teletransportar jogadores","传送玩家",
"VSTR_PERM_TeleportManager_TPSelf","Teleport Self","Selbst teleportieren","Teleport Self","Teleport sebe","Телепортировать себя","Teleportuj siebie","Saját teleportálás","Teletrasporta te stesso","Teletransportarse","Se téléporter","傳送自己","自分を転送","Teletransportar-se","传送自己",
"VSTR_PERM_TeleportManager_DeletePreset","Delete Preset","Voreinstellung löschen","Delete Preset","Smazat předvolbu","Удалить пресет","Usuń preset","Előbeállítás törlése","Elimina preset","Eliminar preajuste","Supprimer préréglage","刪除預設","プリセット削除","Excluir predefinição","删除预设",
"VSTR_PERM_TeleportManager_AddNewPreset","Add New Preset","Neue Voreinstellung hinzufügen","Add New Preset","Přidat novou předvolbu","Добавить новый пресет","Dodaj nowy preset","Új előbeállítás hozzáadása","Aggiungi nuovo preset","Añadir nuevo preajuste","Ajouter nouveau préréglage","添加新預設","新規プリセット追加","Adicionar nova predefinição","添加新预设",
"VSTR_PERM_TeleportManager_EditPreset","Edit Preset","Voreinstellung bearbeiten","Edit Preset","Upravit předvolbu","Редактировать пресет","Edytuj preset","Előbeállítás szerkesztése","Modifica preset","Editar preajuste","Modifier préréglage","編輯預設","プリセット編集","Editar predefinição","编辑预设",
"VSTR_PERM_TeleportManager_TeleportEntity","Teleport Entity","Entity teleportieren","Teleport Entity","Teleport entity","Телепортировать сущность","Teleportuj obiekt","Entitás teleportálása","Teletrasporta entità","Teletransportar entidad","Téléporter entité","傳送實體","エンティティ転送","Teletransportar entidade","传送实体",
"VSTR_PERM_EspToolsMenu","ESP Tools Menu","ESP-Tools-Menü","ESP Tools Menu","Menu ESP nástrojů","Меню ESP инструментов","Menu narzędzi ESP","ESP eszközök menü","Menu strumenti ESP","Menú herramientas ESP","Menu outils ESP","ESP工具菜單","ESPツールメニュー","Menu ferramentas ESP","ESP工具菜单",
"VSTR_PERM_EspToolsMenu_DeleteObjects","Delete Objects","Objekte löschen","Delete Objects","Smazat objekty","Удалить объекты","Usuń obiekty","Objektumok törlése","Elimina oggetti","Eliminar objetos","Supprimer objets","刪除對象","オブジェクト削除","Excluir objetos","删除对象",
"VSTR_PERM_EspToolsMenu_PlayerESP","Player ESP","Spieler-ESP","Player ESP","Hráčské ESP","ESP игроков","ESP graczy","Játékos ESP","ESP giocatori","ESP jugadores","ESP joueurs","玩家ESP","プレイヤーESP","ESP jogadores","玩家ESP",
"VSTR_PERM_EspToolsMenu_RestPasscodeFence","Reset Passcode Fence","Zaun-Passwort zurücksetzen","Reset Passcode Fence","Resetovat heslo plotu","Сбросить пароль забора","Zresetuj kod ogrodzenia","Kerítés jelkód visszaállítása","Reimposta codice recinzione","Restablecer código valla","Réinitialiser code clôture","重置圍欄密碼","フェンスパスコードリセット","Redefinir código cerca","重置围栏密码",
"VSTR_PERM_EspToolsMenu_RetriveCodeFromObj","Retrieve Code From Object","Code von Objekt abrufen","Retrieve Code From Object","Získat kód z objektu","Получить код объекта","Pobierz kod z obiektu","Kód lekérése objektumból","Recupera codice da oggetto","Recuperar código de objeto","Récupérer code d'objet","獲取對象密碼","オブジェクトコード取得","Recuperar código de objeto","获取对象密码",
"VSTR_PERM_EspToolsMenu_PlayerMeshEsp","Player Mesh ESP","Spieler-Mesh-ESP","Player Mesh ESP","Mesh ESP hráčů","Mesh ESP игроков","Mesh ESP graczy","Játékos Mesh ESP","Mesh ESP giocatori","Mesh ESP jugadores","Mesh ESP joueurs","玩家網格ESP","プレイヤーメッシュESP","Mesh ESP jogadores","玩家网格ESP",
"VSTR_PERM_EspToolsMenu_InstantBaseBuild","Instant Base Build","Sofortiger Basisbau","Instant Base Build","Okamžitá stavba základny","Мгновенная постройка базы","Natychmiastowa budowa bazy","Azonnali bázisépítés","Costruzione base istantanea","Construcción base instantánea","Construction base instantanée","即時建造基地","インスタントベース建設","Construção base instantânea","即时建造基地",
"VSTR_PERM_MenuXMLEditor","XML Editor Menu","XML-Editor-Menü","XML Editor Menu","Menu XML editoru","Меню XML редактора","Menu edytora XML","XML szerkesztő menü","Menu editor XML","Menú editor XML","Menu éditeur XML","XML編輯器菜單","XMLエディターメニュー","Menu editor XML","XML编辑器菜单",
"VSTR_PERM_MenuCommandsConsole","Commands Console Menu","Befehls-Konsolen-Menü","Commands Console Menu","Menu konzole příkazů","Меню консоли команд","Menu konsoli poleceń","Parancskonzol menü","Menu console comandi","Menú consola comandos","Menu console commandes","命令控制台菜單","コマンドコンソールメニュー","Menu console comandos","命令控制台菜单",
"VSTR_PERM_Chat_StripPlayer","Strip Player","Spieler ausrüsten entfernen","Strip Player","Odstranit výbavu hráče","Снять снаряжение игрока","Rozbierz gracza","Játékos felszerelés eltávolítása","Spoglia giocatore","Despojar jugador","Désarmer joueur","剝離玩家裝備","プレイヤー装備剥奪","Remover equipamento","剥离玩家装备",
"VSTR_PERM_Chat_KillPlayer","Kill Player","Spieler töten","Kill Player","Zabít hráče","Убить игрока","Zabij gracza","Játékos megölése","Uccidi giocatore","Matar jugador","Tuer joueur","擊殺玩家","プレイヤー殺害","Matar jogador","击杀玩家",
"VSTR_PERM_Chat_HealPlayer","Heal Player","Spieler heilen","Heal Player","Vyléčit hráče","Вылечить игрока","Ulecz gracza","Játékos gyógyítása","Cura giocatore","Curar jugador","Soigner joueur","治療玩家","プレイヤー治癒","Curar jogador","治疗玩家",
"VSTR_PERM_Chat_BringPlayer","Bring Player","Spieler herholen","Bring Player","Přivést hráče","Вызвать игрока","Sprowadź gracza","Játékos idehozása","Porta giocatore","Traer jugador","Ramener joueur","召喚玩家","プレイヤー召喚","Trazer jogador","召唤玩家",
"VSTR_PERM_Chat_ReturnPlayer","Return Player","Spieler zurückbringen","Return Player","Vrátit hráče","Вернуть игрока","Zwróć gracza","Játékos visszaküldése","Riporta giocatore","Devolver jugador","Renvoyer joueur","返回玩家","プレイヤー返送","Retornar jogador","返回玩家",
"VSTR_PERM_Chat_GotoPlayer","Goto Player","Zum Spieler gehen","Goto Player","Jít k hráči","Перейти к игроку","Idź do gracza","Játékoshoz ugrás","Vai dal giocatore","Ir a jugador","Aller au joueur","前往玩家","プレイヤーへ移動","Ir ao jogador","前往玩家",
"VSTR_PERM_Chat_NamalskRunEvent","Run Namalsk Event","Namalsk-Event ausführen","Run Namalsk Event","Spustit Namalsk event","Запустить событие Namalsk","Uruchom wydarzenie Namalsk","Namalsk esemény futtatása","Esegui evento Namalsk","Ejecutar evento Namalsk","Lancer événement Namalsk","運行Namalsk事件","Namalskイベント実行","Executar evento Namalsk","运行Namalsk事件",
"VSTR_PERM_Chat_UnbanPlayer","Unban Player","Spieler entbannen","Unban Player","Odbanovat hráče","Разбанить игрока","Odbanuj gracza","Játékos bannolás feloldása","Sbanna giocatore","Desbanear jugador","Débannir joueur","解封玩家","プレイヤーBAN解除","Desbanir jogador","解封玩家",
"VSTR_PERM_Chat_TeleportToTown","Teleport to Town","Zu Stadt teleportieren","Teleport to Town","Teleport do města","Телепорт в город","Teleportuj do miasta","Teleportálás városba","Teletrasporto in città","Teletransporte a ciudad","Téléportation en ville","傳送到城鎮","街へテレポート","Teletransportar para cidade","传送到城镇",
"VSTR_PERM_Chat_TeleportToPoint","Teleport to Point","Zu Punkt teleportieren","Teleport to Point","Teleport na bod","Телепорт в точку","Teleportuj do punktu","Teleportálás pontra","Teletrasporto a punto","Teletransporte a punto","Téléportation à point","傳送到座標","座標へテレポート","Teletransportar para ponto","传送到坐标",
"VSTR_PERM_Chat_GiveAmmo","Give Ammo","Munition geben","Give Ammo","Dát munici","Дать патроны","Daj amunicję","Lőszer adása","Dai munizioni","Dar munición","Donner munitions","給予彈藥","弾薬付与","Dar munição","给予弹药",
"VSTR_PERM_Chat_SpawnInventory","Spawn in Inventory","In Inventar spawnen","Spawn in Inventory","Spawnout do inventáře","Создать в инвентаре","Spawnuj w ekwipunku","Létrehozás leltárban","Genera in inventario","Generar en inventario","Générer dans inventaire","生成到背包","インベントリ生成","Gerar no inventário","生成到背包",
"VSTR_PERM_Chat_SpawnOnGround","Spawn on Ground","Auf Boden spawnen","Spawn on Ground","Spawnout na zemi","Создать на земле","Spawnuj na ziemi","Létrehozás a földön","Genera a terra","Generar en suelo","Générer au sol","生成到地面","地面生成","Gerar no chão","生成到地面",
"VSTR_PERM_Chat_SpawnInHands","Spawn in Hands","In Händen spawnen","Spawn in Hands","Spawnout do rukou","Создать в руках","Spawnuj w rękach","Létrehozás kézben","Genera in mano","Generar en manos","Générer en mains","生成到手中","手持ち生成","Gerar nas mãos","生成到手中",
"VSTR_PERM_Chat_SpawnCar","Spawn Car","Fahrzeug spawnen","Spawn Car","Spawnout vozidlo","Создать машину","Spawnuj pojazd","Jármű létrehozása","Genera veicolo","Generar vehículo","Générer véhicule","生成載具","車両生成","Gerar veículo","生成载具",
"VSTR_PERM_Chat_refuelCar","Refuel Car","Fahrzeug auftanken","Refuel Car","Doplnit palivo vozidla","Заправить машину","Zatankuj pojazd","Jármű feltöltése","Rifornisci veicolo","Repostar vehículo","Ravitailler véhicule","為載具加油","車両給油","Reabastecer veículo","为载具加油",
"VSTR_BTN_RELOAD_SETS","Reload","Neu laden","Reload","Obnovit","Обновить","Odśwież","Újratöltés","Ricarica","Recargar","Recharger","刷新","更新","Recarregar","刷新",
"VSTR_FILTER_Inventory_Base","All Items","Alle Gegenstände","All Items","Všechny předměty","Все предметы","Wszystkie przedmioty","Minden tárgy","Tutti gli oggetti","Todos los objetos","Tous les objets","所有物品","全アイテム","Todos os itens","所有物品",
"VSTR_FILTER_ItemBase","Items","Gegenstände","Items","Předměty","Предметы","Przedmioty","Tárgyak","Oggetti","Objetos","Objets","物品","アイテム","Itens","物品",
"VSTR_FILTER_BaseBuildingBase","Base Buildings","Basisgebäude","Base Buildings","Základní budovy","Базовые постройки","Budynki bazowe","Alapépítmények","Edifici base","Edificios base","Bâtiments de base","基地建築","基地建築物","Edifícios de base","基地建筑",
"VSTR_FILTER_Rifle_Base","Rifles","Gewehre","Rifles","Pušky","Винтовки","Karabiny","Puskák","Fucili","Rifles","Fusils","步槍","ライフル","Rifles","步枪",
"VSTR_FILTER_Pistol_Base","Pistols","Pistolen","Pistols","Pistole","Пистолеты","Pistolety","Pisztolyok","Pistole","Pistolas","Pistolets","手槍","拳銃","Pistolas","手枪",
"VSTR_FILTER_Ammunition_Base","Ammunition","Munition","Ammunition","Munice","Боеприпасы","Amunicja","Lőszer","Munizioni","Munición","Munitions","彈藥","弾薬","Munição","弹药",
"VSTR_FILTER_Edible_Base","Food & Drinks","Essen & Trinken","Food & Drinks","Jídlo a pití","Еда и напитки","Jedzenie i picie","Étel és ital","Cibo e bevande","Comida y bebidas","Nourriture et boissons","食物飲料","食料と飲料","Comida e bebidas","食物饮料",
"VSTR_FILTER_DayZCreatureAI","Animals","Tiere","Animals","Zvířata","Животные","Zwierzęta","Állatok","Animali","Animales","Animaux","動物","動物","Animais","动物",
"VSTR_FILTER_SurvivorBase","Players","Spieler","Players","Hráči","Игроки","Gracze","Játékosok","Giocatori","Jugadores","Joueurs","玩家","プレイヤー","Jogadores","玩家",
"VSTR_FILTER_Clothing_Base","Clothing","Kleidung","Clothing","Oblečení","Одежда","Ubrania","Ruházat","Abbigliamento","Ropa","Vêtements","服裝","衣服","Roupas","服装",
"VSTR_FILTER_Transport","Vehicles","Fahrzeuge","Vehicles","Vozidla","Транспорт","Pojazdy","Járművek","Veicoli","Vehículos","Véhicules","載具","車両","Veículos","载具",
"VSTR_FILTER_CrashBase","Crash Sites","Absturzstellen","Crash Sites","Místa havárií","Места крушений","Miejsca katastrof","Roncshelyszínek","Luoghi di schianto","Lugares de accidente","Sites de crash","墜機地點","墜落現場","Locais de queda","坠机地点",
"VSTR_SERVER_ADMIN_PREFIX","Server Admin:","Server Admin:","Server Admin:","Server Admin:","Администратор сервера:","Admin serwera:","Szerver admin:","Admin del server:","Admin del servidor:","Admin du serveur:","伺服器管理員:","サーバー管理者:","Admin do servidor:","服务器管理员:",
"VSTR_DIALOG_TITLE_SCALE","Set Scale","Größe ändern","Set Scale","Nastavit velikost","Установить размер","Ustaw skalę","Méret beállítása","Imposta scala","Establecer escala","Définir échelle","設定體型","スケール設定","Definir escala","设置体型",
"VSTR_DIALOG_CONTENT_SCALE","Insert value to change to, between 0.01 and 100.0 (Some specific values will result in the player to be frozen and uncontrollable. To avoid, use rounded numbers)","Wert zwischen 0.01 und 100.0 eingeben (Bestimmte Werte können den Spieler einfrieren und unkontrollierbar machen. Verwenden Sie gerundete Zahlen)","Insert value to change to, between 0.01 and 100.0 (Some specific values will result in the player to be frozen and uncontrollable. To avoid, use rounded numbers)","Zadejte hodnotu mezi 0.01 a 100.0 (Některé hodnoty mohou způsobit zamrznutí a nekontrolovatelnost hráče. Používejte zaokrouhlená čísla)","Введите значение от 0.01 до 100.0 (Некоторые значения могут привести к замораживанию игрока. Используйте округлённые числа)","Wprowadź wartość od 0.01 do 100.0 (Niektóre wartości mogą spowodować zamrożenie gracza. Używaj zaokrąglonych liczb)","Írjon be értéket 0.01 és 100.0 között (Egyes értékek lefagyaszthatják a játékost. Használjon kerekített számokat)","Inserisci valore tra 0.01 e 100.0 (Alcuni valori possono congelare il giocatore. Usa numeri arrotondati)","Inserte valor entre 0.01 y 100.0 (Algunos valores pueden congelar al jugador. Use números redondeados)","Insérer valeur entre 0.01 et 100.0 (Certaines valeurs peuvent geler le joueur. Utilisez nombres arrondis)","輸入0.01到100.0之間的數值（某些特定數值會導致玩家凍結且無法控制。建議使用整數）","0.01から100.0の値を入力（特定の値はプレイヤーを凍結させる可能性があります。整数を使用してください）","Insira valor entre 0.01 e 100.0 (Alguns valores podem congelar o jogador. Use números arredondados)","输入0.01到100.0之间的数值（某些特定数值会导致玩家冻结且无法控制。建议使用整数）",
"VSTR_NOTIFY_SCALE_CHANGED","Player {1} changed scale to {2}","Spieler {1} Größe geändert auf {2}","Player {1} changed scale to {2}","Hráč {1} změnil velikost na {2}","Игрок {1} изменил размер на {2}","Gracz {1} zmienił skalę na {2}","Játékos {1} mérete változott {2}","Giocatore {1} scala cambiata a {2}","Jugador {1} cambió escala a {2}","Joueur {1} échelle changée à {2}","玩家 {1} 體型已更改為 {2}","プレイヤー {1} のスケールを {2} に変更","Jogador {1} alterou escala para {2}","玩家 {1} 体型已更改为 {2}",
"VSTR_NOTIFY_VOMIT","Player {1} is vomiting for {2} seconds!","Spieler {1} erbricht sich für {2} Sekunden!","Player {1} is vomiting for {2} seconds!","Hráč {1} zvrací po dobu {2} sekund!","Игрок {1} рвёт в течение {2} секунд!","Gracz {1} wymiotuje przez {2} sekund!","Játékos {1} hány {2} másodpercig!","Giocatore {1} vomita per {2} secondi!","Jugador {1} vomitando durante {2} segundos!","Joueur {1} vomit pendant {2} secondes!","玩家 {1} 正在嘔吐 {2} 秒！","プレイヤー {1} が {2} 秒間嘔吐しています！","Jogador {1} vomitando por {2} segundos!","玩家 {1} 正在呕吐 {2} 秒！",
"VSTR_NOTIFY_SPECTATE_SELF","You can't spectate your self!","Du kannst dich nicht selbst beobachten!","You can't spectate your self!","Nemůžete sledovat sám sebe!","Вы не можете наблюдать за собой!","Nie możesz obserwować samego siebie!","Nem figyelheted meg önmagad!","Non puoi osservare te stesso!","¡No puedes observarte a ti mismo!","Vous ne pouvez pas vous observer!","您無法觀戰自己！","自分自身を観戦できません！","Você não pode observar a si mesmo!","您无法观战自己！",
"VSTR_NOTIFY_FREEZE_ON","Freeze Controls Set to [ TRUE ] for [{1}] player(s)","Bewegungssteuerung AKTIVIERT für [{1}] Spieler","Freeze Controls Set to [ TRUE ] for [{1}] player(s)","Ovládání zmrazeno ZAPNUTO pro [{1}] hráčů","Блокировка управления ВКЛЮЧЕНА для [{1}] игрока(ов)","Zamrożenie sterowania WŁĄCZONE dla [{1}] gracza(y)","Mozgás befagyasztva BEKAPCSOLVA [{1}] játékos(ok)nak","Controlli congelati ATTIVATI per [{1}] giocatore(i)","Controles congelados ACTIVADOS para [{1}] jugador(es)","Contrôles gelés ACTIVÉS pour [{1}] joueur(s)","已凍結 [{1}] 名玩家的控制權","[{1}] 名のプレイヤーの操作を凍結しました","Controles congelados ATIVADOS para [{1}] jogador(es)","已冻结 [{1}] 名玩家的控制权",
"VSTR_NOTIFY_FREEZE_OFF","Freeze Controls Set to [ FALSE ] for [{1}] player(s)","Bewegungssteuerung DEAKTIVIERT für [{1}] Spieler","Freeze Controls Set to [ FALSE ] for [{1}] player(s)","Ovládání zmrazeno VYPNUTO pro [{1}] hráčů","Блокировка управления ВЫКЛЮЧЕНА для [{1}] игрока(ов)","Zamrożenie sterowania WYŁĄCZONE dla [{1}] gracza(y)","Mozgás befagyasztva KIKAPCSOLVA [{1}] játékos(ok)nak","Controlli congelati DISATTIVATI per [{1}] giocatore(i)","Controles congelados DESACTIVADOS para [{1}] jugador(es)","Contrôles gelés DÉSACTIVÉS pour [{1}] joueur(s)","已解除 [{1}] 名玩家的控制凍結","[{1}] 名のプレイヤーの操作凍結を解除しました","Controles congelados DESATIVADOS para [{1}] jogador(es)","已解除 [{1}] 名玩家的控制冻结",
"VSTR_NOTIFY_INVIS_ON","Invisibility Set to [ TRUE ] for [{1}] player(s)","Unsichtbarkeit AKTIVIERT für [{1}] Spieler","Invisibility Set to [ TRUE ] for [{1}] player(s)","Neviditelnost ZAPNUTA pro [{1}] hráčů","Невидимость ВКЛЮЧЕНА для [{1}] игрока(ов)","Niewidzialność WŁĄCZONA dla [{1}] gracza(y)","Láthatatlanság BEKAPCSOLVA [{1}] játékos(ok)nak","Invisibilità ATTIVATA per [{1}] giocatore(i)","Invisibilidad ACTIVADA para [{1}] jugador(es)","Invisibilité ACTIVÉE pour [{1}] joueur(s)","已啟用 [{1}] 名玩家的隱身","[{1}] 名のプレイヤーの透明化を有効にしました","Invisibilidade ATIVADA para [{1}] jogador(es)","已启用 [{1}] 名玩家的隐身",
"VSTR_NOTIFY_INVIS_OFF","Invisibility Set to [ FALSE ] for [{1}] player(s)","Unsichtbarkeit DEAKTIVIERT für [{1}] Spieler","Invisibility Set to [ FALSE ] for [{1}] player(s)","Neviditelnost VYPNUTA pro [{1}] hráčů","Невидимость ВЫКЛЮЧЕНА для [{1}] игрока(ов)","Niewidzialność WYŁĄCZONA dla [{1}] gracza(y)","Láthatatlanság KIKAPCSOLVA [{1}] játékos(ok)nak","Invisibilità DISATTIVATA per [{1}] giocatore(i)","Invisibilidad DESACTIVADA para [{1}] jugador(es)","Invisibilité DÉSACTIVÉE pour [{1}] joueur(s)","已停用 [{1}] 名玩家的隱身","[{1}] 名のプレイヤーの透明化を無効にしました","Invisibilidade DESATIVADA para [{1}] jogador(es)","已停用 [{1}] 名玩家的隐身",
